StartDate,EndDate,Status,Progress,Finished,RecordedDate,ResponseId,ExpliSOI,Edad,Sexo,SexOrient,M200,M201,M203,M204,M205,M209,M210,M213,M214,M215,M216,M217,M218,M239,M240,M242,M246,M247,M248,M249,M251,M252,M253,M255,M256,M257,M258,M259,M260,M261,M200,M201,M203,M204,M205,M209,M210,M213,M214,M215,M216,M217,M218,M239,M240,M242,M246,M247,M248,M249,M251,M252,M253,M255,M256,M257,M258,M259,M260,M261,M200,M201,M203,M204,M205,M209,M210,M213,M214,M215,M216,M217,M218,M239,M240,M242,M246,M247,M248,M249,M251,M252,M253,M255,M256,M257,M258,M259,M260,M261,H200,H203,H204,H205,H206,H207,H208,H209,H210,H211,H212,H213,H214,H216,H217,H218,H219,H220,H223,H224,H240,H242,H244,H245,H246,H249,H250,H251,H253,H254,H200,H203,H204,H205,H206,H207,H208,H209,H210,H211,H12,H213,H214,H216,H217,H218,H219,H220,H223,H224,H240,H242,H244,H245,H246,H249,H250,H251,H253,H254,H200,H203,H204,H205,H206,H207,H208,H209,H210,H211,H212,H213,H214,H216,H217,H218,H219,H220,H223,H224,H240,H242,H244,H245,H246,H249,H250,H251,H253,H254
Fecha de inicio,Fecha de finalización,Tipo de respuesta,Progreso,Finalizado,Fecha registrada,ID de respuesta,"La sociosexualidad es la disposición de una persona a tener relaciones sexuales sin compromiso. 



Mientras que hay personas poco sociosexuales, que jamás tendrían relaciones sexuales sin que haya una relación estable y comprometida, hay persona más sociosexuales que están más dispuestas a tener relaciones sexuales casuales con personas con quienes no hay una relación establecida.



Por favor confirma si entiendes a qué se refiere el concepto de sociosexualidad:",¿Cuál es tu edad?,¿Cuál de las siguientes opciones describe mejor tu género?,¿Cuál de las siguientes opciones describe mejor tu orientación sexual?,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1
5/5/22 19:50,5/5/22 19:50,1,100,1,5/5/22 19:51,R_2xRyheDqfe9EUYw,,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/22 18:11,5/12/22 18:17,1,100,1,5/12/22 18:17,R_1OPEVvD9KI3ZdWz,,99,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8","1,5","1,5","1,4","1,5","1,8","1,9","1,9","1,9","1,8","1,8","1,7","1,7","1,5","1,7","1,5","1,5","1,2","1,4","1,6","1,6","1,5","1,8","1,9","1,8",2,"1,8","1,8","1,9","1,8","1,5","1,5","1,8","1,7","1,6","1,7","1,7","1,6","1,4","1,5","1,6","0,9","0,7","1,2","1,6","1,3","1,2","1,4",1,"1,4","1,1","1,2","1,5","1,4","1,5","1,3",1,"1,1","0,7","0,9","2,4","2,3","2,1","1,8","1,6","2,3","1,9","1,8","1,7","1,4","0,7","1,8","1,7","1,4",2,"1,6","1,5","1,9","1,8","1,7","1,9","1,2","1,8","1,9","1,9","2,1","1,9","1,9","1,8","1,8"
5/12/22 18:52,5/12/22 18:53,0,100,1,5/12/22 18:53,R_3HS8qx77VtQGEJ8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/22 13:46,5/16/22 13:57,0,100,1,5/16/22 13:57,R_1YYGtU4Bez6VSLf,2,99,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,1","9,2","8,2","6,6","5,2","6,6","6,2","7,7","3,7","3,8","6,7","3,7","6,8","3,2","4,5","4,6","2,5","7,2","7,5","7,1","3,6","7,8","7,5","9,1","7,7","2,2","7,9",6,"4,2",4,4,,"6,1","7,6","3,8","5,7","7,3","8,7","6,4","3,3","7,5","7,7","2,8","6,7","3,9","7,4","2,6","4,1","3,2","3,3","1,3",9,"6,7","7,1","6,4",4,2,"8,8","8,4",3,"6,1",10,"6,7","6,5","8,6","6,3","5,5","7,4","7,6","7,8","9,2","6,4","7,4","4,7","6,1","3,8","6,9","8,1",6,"7,6","4,1",6,"3,5","8,5","7,4","3,2","7,1","7,1","7,3","7,5"
5/16/22 13:59,5/16/22 14:06,0,100,1,5/16/22 14:07,R_UsTW4TNqYFNaVNv,2,99,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,6","8,3","7,3",10,,"7,9","8,1","7,3",8,"7,5","6,4","6,6","7,1","1,3","7,2","7,1","7,5","1,5","6,7","8,3","3,9","6,9","1,3","7,1","7,4","7,3","7,2","6,8","8,7","7,3","2,7","2,9",3,"3,5","6,4","6,3","6,9","6,9","3,8","3,1","2,4","3,9","3,8","8,2","7,3","8,8","6,4","1,4","4,2","4,1","7,4","6,8","8,5","3,7","3,7","4,2","5,2","4,3","6,9","3,8","8,1","6,8",4,"6,4","6,9","7,5","7,4","7,8","3,7","1,7","2,9","3,2","7,6",8,"8,3","8,6",3,"2,8","2,3","2,9","7,9","7,4","8,4","3,7","2,4","6,9","6,4",4,7,"3,9"
5/22/22 19:01,5/22/22 19:10,0,100,1,5/22/22 19:10,R_1lrENB4ui9UlHAr,2,99,1,1,"8,8","6,3","8,4","7,2","7,5","3,5","6,4","7,8","7,2","6,9","2,8",,,"7,1","7,7","2,6","8,8","7,2","6,5","6,4","3,1","7,7","8,6","7,3","7,9","2,7","2,6","7,8","8,7","7,3",9,"2,3","7,2","7,5","4,4","3,5","3,8","3,3","3,8","6,9","7,9",8,"6,6","3,7","2,4","2,4","1,7","2,1","1,4","2,2","2,1","8,4","8,1","7,6","8,3","2,8","2,4","2,2","5,9","2,2",7,"3,9","3,6","7,7","3,9","3,3","3,9",4,3,"7,3","7,3","6,6","8,7","3,5","3,6","7,5","7,6","7,6","3,7","7,8","7,2","6,7","4,1","7,1","3,4","2,8","6,7","3,4","7,3","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/22 19:00,5/22/22 19:01,0,52,0,5/29/22 19:01,R_3NVD0gBgugE8iRA,2,99,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/22 19:07,5/22/22 19:11,0,36,0,5/29/22 19:11,R_24C33tX7ZnXh9kv,2,99,1,1,"7,1","6,7","7,2",7,"7,5","6,6","7,5","6,6","7,4","6,8","6,4",,,"6,5","7,5",7,"6,3",7,"7,2","6,7","7,4","5,7",7,7,"6,9","7,6","7,5","7,3","7,1","6,8","7,2","7,3","8,3","7,6","7,1","7,5","7,7","8,3",8,"7,5",7,"7,8","7,8","7,8","7,9","6,9","8,8","7,8","7,9","7,7","8,3",7,"7,1","7,1","8,4","8,5","7,7",7,"9,5","7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/22 21:47,6/7/22 21:52,0,100,1,6/7/22 21:52,R_sjJW0rpDasXt9FD,2,99,1,1,"0,2","0,3","0,2","0,4","0,5","0,2","0,2","0,2","0,5","0,5","0,4",1,1,"0,1","0,9","0,2","0,3","0,3","0,4","0,4","0,5","0,5","0,5","0,3","0,6","0,2","0,4","0,3","0,1","0,5","1,8","1,2","1,2",1,"0,8","0,7",1,"0,9","0,6",1,"0,9","0,8","0,1","0,2","0,2","0,3","0,5","0,1","0,4","0,1","0,4","0,4","0,5","0,3","0,4","0,3","0,2","0,2","0,4","0,3","0,2","0,6","0,4","0,3","0,8","0,5","0,4","0,6","0,2","0,1","0,4","0,6","0,6","0,7","0,9","0,8","0,4","0,1","0,4","0,4","0,3","0,3","0,5","0,4","0,4","0,2","0,6","0,4","0,2",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
