StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExpliSOI,Edad,Sexo,SexOrient,M200,M201,M203,M204,M205,M209,M210,M213,M214,M215,M216,M217,M218,M239,M240,M242,M246,M247,M248,M249,M251,M252,M253,M255,M256,M257,M258,M259,M260,M261,M200,M201,M203,M204,M205,M209,M210,M213,M214,M215,M216,M217,M218,M239,M240,M242,M246,M247,M248,M249,M251,M252,M253,M255,M256,M257,M258,M259,M260,M261,M200,M201,M203,M204,M205,M209,M210,M213,M214,M215,M216,M217,M218,M239,M240,M242,M246,M247,M248,M249,M251,M252,M253,M255,M256,M257,M258,M259,M260,M261,H200,H203,H204,H205,H206,H207,H208,H209,H210,H211,H212,H213,H214,H216,H217,H218,H219,H220,H223,H224,H240,H242,H244,H245,H246,H249,H250,H251,H253,H254,H200,H203,H204,H205,H206,H207,H208,H209,H210,H211,H12,H213,H214,H216,H217,H218,H219,H220,H223,H224,H240,H242,H244,H245,H246,H249,H250,H251,H253,H254,H200,H203,H204,H205,H206,H207,H208,H209,H210,H211,H212,H213,H214,H216,H217,H218,H219,H220,H223,H224,H240,H242,H244,H245,H246,H249,H250,H251,H253,H254,Cedula
Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,"La sociosexualidad es la disposición de una persona a tener relaciones sexuales sin compromiso. 



Mientras que hay personas poco sociosexuales, que jamás tendrían relaciones sexuales sin que haya una relación estable y comprometida, hay persona más sociosexuales que están más dispuestas a tener relaciones sexuales casuales con personas con quienes no hay una relación establecida.



Por favor confirma si entiendes a qué se refiere el concepto de sociosexualidad:",¿Cuál es tu edad?,¿Cuál de las siguientes opciones describe mejor tu género?,¿Cuál de las siguientes opciones describe mejor tu orientación sexual?,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,¿Qué tan sociosexual crees que es esta persona? - 1,"Si eres estudiante de Etología y Sociobiología, por favor escribe tu número de cédula para recibir una bonificación en tus calificaciones."
8/22/22 17:33,8/22/22 17:52,0,186.84.20.74,100,1113,1,8/22/22 17:52,R_2Y3uuXziQstluzS,2,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"8,2","1,9",3,6,"7,1",4,7,3,4,2,"3,8","8,1","1,9","2,6",4,3,6,"6,1",6,3,"3,1","4,1",8,"6,1",3,7,"6,1",3,3,3,4,"8,1",7,"8,1",6,3,4,4,5,7,2,7,2,2,"7,1",6,7,3,3,6,3,3,"4,3","2,1","2,5",2,"1,9",3,"2,4",8,8,"8,1",8,4,"4,1","6,1",8,8,8,"7,1",7,4,"7,9",8,4,8,3,3,"8,1",3,"2,9",3,"2,9",3,6,"6,1",3,"6,1",3,Catalina Vera Gonzalez -1001187749
8/28/22 8:08,8/28/22 8:15,0,186.84.21.6,100,400,1,8/28/22 8:15,R_1gcsaQMkJ0llapl,2,25,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,10,"3,4",6,"2,7","6,9","6,4","2,9","6,5","2,8","3,3","7,1","6,5","6,8","6,4","6,7","6,9","6,8","6,8","7,1","7,9","7,4","6,8",7,"2,8","8,2",7,"3,7","6,6","4,2","6,5",7,10,"8,3","3,5","6,9",10,3,"6,5","6,5","6,9","6,7","3,5","4,1","7,1","6,8",3,"3,1","7,2","3,5","6,8","7,3","7,7","7,7","7,2","7,2","8,6","8,1","7,4","7,2",8,"7,3","7,4","7,3","7,4","7,7","9,4","7,4","3,3","6,8","8,4","7,5","2,6","6,9","8,6","7,8","7,5","7,9",7,"7,2","7,3","7,4",3,"3,9","6,7","8,4","2,9","7,3","4,1",1020824802
8/28/22 20:09,8/28/22 20:36,0,186.155.15.102,100,1625,1,8/28/22 20:36,R_BY7kfzLXHcShJxT,2,18,1,1,1,10,"2,4",0,"2,1","7,3",10,"8,5","0,7","2,3","3,6",10,1,"3,9","1,7","2,4","8,4",8,"3,6","9,2","1,3",4,"7,1",10,"6,6","2,5","8,3",10,"6,6","3,8","8,1",3,4,7,3,"2,9","7,1","8,3","5,5","6,9","6,3","3,7","3,8","6,6","3,9","3,4","3,3","9,3","2,8","7,8","3,1","8,3","6,3","8,3","8,8","3,9","6,3","2,4","6,5","3,7","8,7","6,9","2,3","1,2","0,5","0,8","6,9","7,5",10,"3,5","6,7","4,6","8,6","6,5","1,8","2,2","3,9","5,5","3,8",10,"4,5","8,5","3,5","7,6","9,5","7,1","8,7","5,7","9,4","4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015392975
8/28/22 21:53,8/28/22 21:55,0,181.61.209.54,100,123,1,8/28/22 21:55,R_11ipZlaEoZhLmEz,2,18,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/22 21:50,8/28/22 22:38,0,186.28.195.73,100,2834,1,8/28/22 22:38,R_2QX4EZZL8bmZzUA,2,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,2","4,3","4,1",6,"2,9",6,2,"1,7",4,"6,1","7,1",7,"7,2","1,6","3,5",3,"1,9",6,4,"2,9","4,1","5,5","2,8",4,"8,5","1,9","3,1","4,1","6,1","2,9","3,4","5,9","5,9","4,2","5,6",4,"4,1","3,6","4,1",6,4,5,"4,8","4,3","5,6","5,8","4,4","4,6","4,3","3,5","5,6","4,3","5,4","5,5","4,8","5,3",7,3,"7,1","4,7","3,9","5,6","9,4","6,9","8,2","6,7","4,3",8,"4,6","3,9","5,4","4,1","4,3","5,5","5,9","9,4","5,9","5,5","6,9","6,1","3,8","5,3","4,4",8,"4,2","7,2","2,9","1,9","3,8","2,9",1123431654
8/30/22 15:29,8/30/22 16:15,0,186.84.22.234,100,2735,1,8/30/22 16:15,R_31R87KwGjKWuCFL,2,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"9,2",7,6,"2,5",8,6,6,8,7,8,5,8,2,5,"8,5",6,4,8,3,5,9,5,8,7,9,"6,5",7,8,4,6,"3,5","6,5","6,4",5,"6,8",6,7,4,5,5,"5,4","6,5",5,"4,5","4,9","4,2","5,2","6,8","4,8","5,6","6,1","4,7","5,3","5,5","4,2","3,8","3,2","5,2","4,7",8,"6,8","5,7",7,5,"4,2",5,"7,9","6,2","4,5","6,2","4,3","7,2","3,2","4,2",8,5,"4,8","5,8","4,2","4,6",8,5,"7,6","4,7","5,2","3,7","4,6","7,5","6,2",1007586087
8/29/22 15:05,9/3/22 18:40,0,186.84.21.248,100,444903,1,9/3/22 18:40,R_3MRPvGXA7WBI0Oz,2,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,7","5,6","5,4","4,2","3,5","5,4","6,5","4,1","5,6","5,8","4,6","4,5","5,5","3,8","4,2",3,"2,5","5,7","4,1","3,7","3,9","6,3",4,"5,9","4,4","3,8",4,"5,3","5,8","3,5","3,9","2,9","4,1","3,2","3,3","3,1",3,"3,2","3,1","3,1","2,9",3,"2,9",3,"2,9",3,"2,8","3,1",3,3,"2,9","3,8","3,1","2,9","2,3",3,"5,1","2,5","3,1","2,8","3,9","4,1",4,"4,6",4,4,"4,2","4,5","4,6","4,4","3,8","4,5","6,1","4,5","2,4","5,4","2,8","4,6","3,7","3,9","3,9","5,5","4,1","4,1",3,"5,8",6,"4,2","7,4","5,8",1013036200
9/3/22 19:56,9/3/22 20:11,0,186.145.48.28,100,901,1,9/3/22 20:11,R_R8JH4j2Srj4lod3,2,20,1,1,5,"6,7",6,"8,1","6,2","6,3",3,"5,8",4,"4,3","4,4",6,9,"4,5",5,"5,6","6,5",3,"6,3",7,"6,2","5,6","3,8","6,1","3,5",5,"6,7",6,"5,3","5,9",6,"7,1","3,8","2,1","2,1",6,"3,9","6,7","5,9","3,1","4,1","3,1","1,5","2,1","2,9","1,1",6,"7,7",3,"6,9","7,1","2,4","7,3",4,"4,4","5,7","7,9","4,4","5,7","4,6","6,4","4,2","8,2","4,1","5,6","4,1","4,2","6,4","8,5","3,5","3,8","3,4","6,7","3,6","4,2","3,7","7,4","9,7","8,6","7,5","3,9","7,3","7,2","3,3","3,7","3,8","7,3","3,7","7,6","3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000372779
9/3/22 19:56,9/3/22 20:13,0,186.84.90.194,100,1049,1,9/3/22 20:13,R_2S98lLV7TjgpQtM,2,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,2","8,2","6,6","5,6","6,7","7,2","6,7",7,"7,1","8,2","7,8","6,7","4,7","6,5","4,3",7,4,"3,3","2,9","4,5",0,"5,7","3,9","5,1","4,4","5,8","5,8","3,4",3,"6,7","9,1","7,2","8,8",7,"7,5","7,7",10,"7,9",4,"3,7","6,1","5,1","6,6",6,"2,9",8,"1,7","0,8","3,6","4,3","7,7","5,7","6,7","6,8","4,5","6,1","3,9","3,9",10,"5,3","8,8","6,6","8,5","3,4","8,9","5,6","4,1","5,5","5,7","4,2","5,7","5,6",7,"6,4","7,8","5,5","6,5","3,6","5,6","6,7","2,2","9,5","6,1","6,2","5,8","5,6","6,4",6,"3,9","6,1",1003805326
